pid,Status,Project Address,Tel,Stewarding Chapter,Extracted State
27, current / ongoing  ," , (1) Raoli Camp,S.M. Road, Sion Koliwada,Sardar Nagar 4,Maharashtra  400037 ", 011-91-022-4072188  ,"",MAHARASHTRA
29, completed - requirements ended  ," , Near Ganj Gurhatti,,Moradabad,Haryana   ",   ,"",HARYANA
30, completed - requirements ended  ," , Bal Anand, Akash Deep,Dongersi Road,Malabar Hill,Maharashtra  400006 ","  (91-22)362-5543, 362-9147, 36  ","",MAHARASHTRA
31, completed - requirements ended  ," , c/o Mr. Ravindra Kashi,Balanandana Trust,Heggodu,Karnataka  577 417 ", 91-8183-2874/65713  ,"",KARNATAKA
33, completed - requirements ended  ," , Chief-of-Liaison, BCT,D.No.49-36-46/5, NGO Colony,Akkayyapalem,Andhra Pradesh  530016. ", 00-91-(0891)550084  ,"",ANDHRA PRADESH
34, completed - requirements ended  ," , Asha Shamajik Vidyalay, Vill. Bhaisahan ( Reoti), Po. Reoti,District, Ballia ,,Uttar Pradesh  277209 ", 91- 9335341150  ,"",UTTAR PRADESH
35, current / ongoing  ," , 6A Panna Lal Road,,Allahabad,Uttar Pradesh  211002 ", 011 91 9415218562  ,"",UTTAR PRADESH
38, completed - requirements ended  ," , ,,,Maharashtra   ",   ,"",MAHARASHTRA
39, completed - requirements ended  ," , 1/2 Lovelock Street,Kolkata,,West Bengal  700 019 ",   ,"",WEST BENGAL
40, completed - requirements ended  ," , Poothathankudieruppu,ThiruviruthanPulli P.O.,Poothathankudieruppu,Tamil Nadu  627414 "," +91-4634-63355 (Off), +91-9443  ","",TAMIL NADU
42, completed - requirements ended  ," , 78, Krishnana, Street, Kanakadhara nagar,,Valasarawakkam,Chennai,Tamil Nadu  600032 ", 91-44-24869050  ,"",TAMIL NADU
43, current / ongoing  ," , Village and P.O. Shibganj, P.S. Basanti,,Shibganj,West Bengal  743312 ", 91-3218-232334 / 232609  ,"",WEST BENGAL
44, completed - requirements ended  ," , Ekta Parishad / Navrachna Samaj Sewi Sanstha,Post Dhangawan, Tehsil Sihora,Village Mohala,Madhya Pradesh  483225 "," (91-775) 543800, 761552  ","",MADHYA PRADESH
45, completed - requirements ended  ," , Sector D/E, Cheetah Camp,,Mumbai,Maharashtra  400088 ", 91-22-5588730/5589334  ,"",MAHARASHTRA
46, completed - requirements ended  ," , H.NO 43,NEW COLONY VILLAGE,MIRZAPUR, Regd. No 504,Haryana  132119 ", +91(1744)239809  ,"",HARYANA
49, completed - requirements ended  ," , Christ King Society,Tambaram,Chennai,Tamil Nadu  600045 ",   ,"",TAMIL NADU
50, completed - requirements ended  ," , Lengru Khuli,,Tangra,West Bengal   ",   ,"",WEST BENGAL
51, completed - requirements ended  ," , 303/2, L.B. Shastri Nagar,Vimanapura Post, Annasandra Palya,Bangalore,Karnataka  560 017 ", 91-80-527-2111  ,"",KARNATAKA
52, completed - requirements ended  ," , ,,,Karnataka   ",   ,"",KARNATAKA
53, current / ongoing  ," , PWD Colony,Behind Forest Nursery,Chamarajanagar,Karnataka  571313 ", 08226 22556  ,"",KARNATAKA
54, completed - sustainable  ," , ,,,Maharashtra   ",   ,"",MAHARASHTRA
56, current / ongoing  ," , Todi Ramjanipura,Kho Nagoriyan Road,Jagatpura,Rajasthan  302017 ", 011 91 141 2750230  ,"",RAJASTHAN
58, completed - requirements ended  ," , Jagannath Shankarsheth Chowk Municipal School Second Floor,Room No 54, Nana Chowk, Grant Road,,Maharashtra  400 007 ", 011-91-22-23826343  ,"",MAHARASHTRA
59, completed - requirements ended  ," , Gandhi Nagaram,,Gollaprolu,Andhra Pradesh  533445 ",   ,"",ANDHRA PRADESH
60, completed - requirements ended  ," , Z.P. High School,DUVVA,Duvva,Andhra Pradesh  534156 ",   ,"",ANDHRA PRADESH
62, completed - things went wrong  ," , 302, Jai Apartments,,Sector-9 Rohini,New Delhi,Delhi  110 085 "," 91-11-755 3976, 514 3836  ","",DELHI
64, completed - requirements ended  ," , ,,Gahora,Uttar Pradesh   ",   ,"",UTTAR PRADESH
65, completed - requirements ended  ," , Thoubal Achouba, M.I. Road,Hotel Kongbra,Thoubal,Manipur  795138 ", (03848)-22641  ,"",MANIPUR
68, completed - requirements ended  ," , ,,,Karnataka   ",   ,"",KARNATAKA
69, completed - requirements ended  ," , ,,Mohuda Village,Orissa  760002 ", 91-680-209755-63  ,"",ODISHA
71, completed - requirements ended  ," , L.C.Tyagi, Secretary,P.O.Jelu,Gagadi (via Tinvri),Rajasthan  346 004 ",   ,"",RAJASTHAN
72, completed - requirements ended  ," , ,,,Andhra Pradesh   ",   ,"",ANDHRA PRADESH
74, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
77, current / ongoing  ," , Institute Of Social Work.,29B, Chetla Central Road,Kolkata,West Bengal  700027 ", 91-33-24796607  ,"",WEST BENGAL
78, completed - requirements ended  ," , Anawim Trust - 1/497, Shanthi Nagar,Veerapandianpattinam, Tirunelvelli Road,,,Tamil Nadu  628 216 ", 4639-245122  ,"",TAMIL NADU
79, completed - requirements ended  ," , 184/14C-2 Jayanagar,,,Tiruvallur,Tamil Nadu  602001 ", 91-4116-262607  ,"",TAMIL NADU
80, completed - requirements ended  ," , Rajendranagar,,Kolhapur,Maharashtra  416004 ",   ,"",MAHARASHTRA
81, current / ongoing  ," , Lodhar Village,PO Mandhana, Kanpur,Kanpur,Uttar Pradesh  209217 ", 91-7275002345  ,"",UTTAR PRADESH
82, completed - requirements ended  ," , Jaher Development Samiti, Bagjobra,Village Bodra, Tola Bagjobra,P.O. Churchu,Jharkhand  825411 ", 6546 232168  ,"",JHARKHAND
84, completed - sustainable  ," , C-46, 5th Cross Street,Anna Nagar,,Tamil Nadu  603001 ", 8122760490  ,"",TAMIL NADU
86, completed - requirements ended  ," , Jiaganj Raja Bijoy Singh Vidyamandir,P. O. Jiaganj,,West Bengal  742123 ",   ,"",WEST BENGAL
87, completed - requirements ended  ," , Prachiti, C/o Jnana Prabodhini,510, Sadashiv Peth,,Velhe taluk,Maharashtra  411030 ", 91-20-432691  ,"",MAHARASHTRA
88, completed - things went wrong  ," , 104, Reliance Enclave,Venkataramana Colony,Hyderabad,Telangana  500 004 ", 00-91-40 3320196  ,"",TELANGANA
90, completed - requirements ended  ," , ,,,Delhi   ",   ,"",DELHI
92, completed - requirements ended  ," , c/o Mr. Rajkumar Shankar,,Holding no. 46/35, Rabindrapalli, P.O. Hijli,,,West Bengal  721306 ",   ,"",WEST BENGAL
93, current / ongoing  ," , KNUC,,Khajurdaha,West Bengal  712149 ", 09434125297  ,"",WEST BENGAL
94, completed - requirements ended  ," , Kislaya Vidya Mandir,BIT Ranchi,Mesra,Jharkhand  835215 ",   ,"",JHARKHAND
95, completed - requirements ended  ," , P.O. Sonapur, via Gohpur,,,Assam  784168 "," (037158) 43187 (p.p.), (0361)  ","",ASSAM
96, completed - requirements ended  ," , ,,,Karnataka   ",   ,"",KARNATAKA
98, current / ongoing  ," , B1/111 Assi,Shivpuri Colony, Nagwa,Varanasi,Uttar Pradesh  221005 ", 91-542-369800  ,"",UTTAR PRADESH
99, current / ongoing  ," , Lodhar Village,PO Mandhana,Kanpur,Uttar Pradesh  209217 ", 91-917275002345  ,"",UTTAR PRADESH
100, completed - requirements ended  ," , 5/456, Rohini Garden,1st Plot, Iyappa Chettiar Kadu,Alagapuram Pudur,Tamil Nadu  636 016 ", 0427-440449  ,"",TAMIL NADU
101, completed - requirements ended  ," , ,,,Andhra Pradesh  515002 ",   ,"",ANDHRA PRADESH
102, completed - requirements ended  ," , Besthavari Palli,,Pulivendla taluk,Andhra Pradesh   ",   ,"",ANDHRA PRADESH
105, completed - requirements ended  ," , Flat #1, Saptagiri Apartments,83, T.T.K. Road,Madras,Tamil Nadu  600 018 "," 499-4806, 499-6634  ","",TAMIL NADU
107, completed - requirements ended  ," , Mr. Narendra Kumar,Manav Mandir,Khaknar,Madhya Pradesh  450332 ", (+91) 07325 86359  ,"",MADHYA PRADESH
110, completed - requirements ended  ," , 17A, Brojen Mukherjee Road,,Behala,West Bengal  700034 ",   ,"",WEST BENGAL
111, completed - requirements ended  ," , General Secretary MICDA,11-8, NGOs colony,Puttur,Andhra Pradesh  517583 ", 877-2243901  ,"",ANDHRA PRADESH
112, completed - requirements ended  ," , VIA: Devidol, Phuanga and Niyali,,Juanga,Orissa  PIN: 754109 ", 9861012151  ,"",ODISHA
113, completed - requirements ended  ," , Madurai Institute for Peace Science,Gandhi Museum.,Alathur Panchayat,Tamil Nadu  625 002 ", 530 291 / 560 229  ,"",TAMIL NADU
114, completed - requirements ended  ," , T-73-B, 30th Cross Street,Besant Nagar,Chennai,Tamil Nadu  600090 ", 91-44-491-7483  ,"",TAMIL NADU
118, completed - things went wrong  ," , ,,Nandgad,Karnataka  591 120 ",   ,"",KARNATAKA
120, completed - sustainable  ," , Civil Hospital Road,,,Gujarat  396001 ", 011-91-2632-2-48378  ,"",GUJARAT
121, completed - requirements ended  ," , C.A Site no 4,Jeevan Bima Nagar, HAL 3rd Stage,Bangalore,Karnataka  560075 ",   ,"",KARNATAKA
122, completed - requirements ended  ," , NAB - Mehsana-Patan Dist.,South Commercial Centre, Near Three Gate,,Gujarat  384315 ",   ,"",GUJARAT
123, completed - requirements ended  ," , ,,,Maharashtra   ",   ,"",MAHARASHTRA
124, current / ongoing  ," , Village Nagepur (Usrapatti),Nagepur,Post Benipur,Uttar Pradesh  221307 ", 91-542-2632433  ,"",UTTAR PRADESH
126, completed - requirements ended  ," , New English School and Junior College, Nevare,P.O. Nevare, Taluk and district Ratnagiri,Nevare,Maharashtra  415 620 ", 47226  ,"",MAHARASHTRA
128, completed - requirements ended  ," , Vill & Post-Jhilu,Dist. Burdwan,,West Bengal  713 147 ",   ,"",WEST BENGAL
130, terminated  ," , Bharat Gyan Vigyan Samithi(Orissa),C/4 HIG flats,Housing Board colony,Baramunda,Orissa  571003 ", 55089  ,"",ODISHA
131, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
132, completed - requirements ended  ," , The Friends of the Doon, EBD Business Center,49 Rajpur Road,Dehra Doon,Uttaranchal  248001 ",  91-0135-657748  ,"",UTTARAKHAND
133, completed - requirements ended  ," , 44, Old Post Office Street,Venkatapuram, Ambattur,,Tamil Nadu  600053 ", 011-91-44-681930  ,"",TAMIL NADU
137, proposal-evaluation by chapter  ," , Door 103, Puttanahalli,Kothanur Village,J.P. Nagar, 7th Phase,Karnataka   560 078 ", 22447407  ,"",KARNATAKA
138, completed - requirements ended  ," , Gen J Bhosale Marg,Nariman Point,Mumbai,Maharashtra  400021 ", (022) 22886975  ,"",MAHARASHTRA
140, completed - things went wrong  ," , Kumhar Toli,,Matwari, Hazaribag,Jharkhand  825301 ", 06546-25736  ,"",JHARKHAND
141, completed - requirements ended  ," , Mrs. Vimla Dang,Ekta Bhawan,Chheharta,Punjab  143105 ", 91-83-258631  ,"",PUNJAB
142, completed - things went wrong  ," , ,,,Maharashtra   ",   ,"",MAHARASHTRA
143, completed - requirements ended  ," , ,,,Delhi   ",   ,"",DELHI
144, completed - requirements ended  ," , ,,,Rajasthan   ",   ,"",RAJASTHAN
145, completed - things went wrong  ," , ,,Mahakar,Bihar  824201 ",   ,"",BIHAR
147, completed - things went wrong  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
148, terminated  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
152, completed - requirements ended  ," , Krishna Nursing Home,,Wadakanchery,Kerala  671 315 ", 91-499-2703420  ,"",KERALA
154, completed - requirements ended  ," , Roshni Nair - Flat 41, 6th floor B-1,Maniyar Apts., Tardeo Rd.,,Maharashtra  400 034 ", 91-22-4948053  ,"",MAHARASHTRA
155, current / ongoing  ," , Post Box No.47,D. No. 22-977/1, Moruganipalle Road,Chittoor,Andhra Pradesh  517001 ",  011 91 8572 227475     ,"",ANDHRA PRADESH
156, completed - requirements ended  ," , Z 133-134, Sector-12,,Noida,Uttar Pradesh  201 301 "," (0118) 4531146, 4536416  ","",UTTAR PRADESH
158, completed - requirements ended  ," , Dr. Gananath,,Jayanagar,Karnataka   ",   ,"",KARNATAKA
159, completed - requirements ended  ," , Z 133-134, Sector-12,,Noida,Uttar Pradesh  201 301 ", (0118) 4531146  ,"",UTTAR PRADESH
161, completed - requirements ended  ," , At PO Pindval,Tal Dharampur,Pindval,Gujarat  396050 ", +91. 2633.29.2540  ,"",GUJARAT
162, completed - requirements ended  ," , Lok Vigyan Kendra,Nehru Udyam, Race Course,,Gujarat  360001 ",   ,"",GUJARAT
165, completed - requirements ended  ," , E-7 Shivam Complex, Road No 9,Sonari West, P.O. Sonari,Jamshedpur,Jharkhand  831011 ",   ,"",JHARKHAND
166, current / ongoing  ," , Chennai-Bangalore High road(Opp. P.W.D. Inspection Bungalow),Venkatrangam Pillai Chatram,Sriperumbudur,Tamil Nadu  602105 ", 9444902322  ,"",TAMIL NADU
168, completed - requirements ended  ," , ,,Ullal Upanagara,Karnataka   ",   ,"",KARNATAKA
169, completed - requirements ended  ," , 306 Kalakodi street, Tenkasi,,,Tamil Nadu  627811 ", 91-4633-81081  ,"",TAMIL NADU
170, completed - requirements ended  ," , Sevalaya, Kasuva Village Pakkam PO,near Thiruninravur, 60202,Kasuva Village,Tamil Nadu  602024 ", 26344243 / 9444346699  ,"",TAMIL NADU
174, completed - requirements ended  ," , Mr. K. Murugesan, Project Co-ordinator (SHARE),33-A Christie Mathews Memorial Complex,T.B. Sanatorium P.O.,Tamil Nadu  632 011 ", 91-0416-224018 / 223524 / 7030  ,"",TAMIL NADU
175, completed - requirements ended  ," , P.V.G. Gujarati School,Navroji Cross Lane,Ghatkopar (West),Maharashtra  400 086 ", 512 4617  ,"",GUJARAT
176, completed - requirements ended  ," , No. 7, 5th Main, 2nd Cross, Shankar Nagar,Nandini Layout Post (Opp Ashoka Heights Apts),,Karnataka  560096 ", (080)235-74801   ,"",KARNATAKA
177, completed - sustainable  ," , 3rd Cross, 3rd Phase,Near Ragi Gudda,J.P. Nagar,Karnataka  560 078 ", 91 80 6631076  ,"",KARNATAKA
178, terminated  ," , 223C, Rajaji Street,,K.K. Nagar,Tamil Nadu   ",   ,"",TAMIL NADU
179, completed - requirements ended  ," , Mr. Jamini Kanta Mahato (Secretary),P.O. Ghatsila,Ghatsila,Jharkhand  832303 ", 06585-25743 / 06585-25687  ,"",JHARKHAND
180, completed - requirements ended  ," , 271 ""Ramleela"",MS Road,V. V. Puram,Karnataka  560004 ",   ,"",KARNATAKA
183, completed - requirements ended  ," , Mr. Veeramalu, Vidya Sagar, Spastic Society of Madras,1 Ranajit Road,Kotturpuram,Tamil Nadu  600085 ",   ,"",TAMIL NADU
184, completed - requirements ended  ," , 31, 5th Cross, 5th Main,Indira Nagar, 1st Stage,Bangalore,Karnataka  560038 ", 80 4074 5900  ,"",KARNATAKA
186, completed - requirements ended  ," , ,,Bannimantap,Karnataka   ",   ,"",KARNATAKA
187, completed - requirements ended  ," , E-7 Shivam Complex, Road No 9,Sonari West,,P.O. Sonari,Jharkhand  831011 ",   ,"",JHARKHAND
188, completed - requirements ended  ," , ,,Chromepet,Tamil Nadu   ",   ,"",TAMIL NADU
189, completed - requirements ended  ," , Sanskriti O Samaj Unnayan Parishad,,Sarbamangala Pally (South),West Bengal  732101 ", 91-3512-267423 / 33-24185452  ,"",WEST BENGAL
191, completed - requirements ended  ," , Cholanayakanahalli,,R.T. Nagar,Karnataka  560 032 ", 3330499  ,"",KARNATAKA
192, completed - requirements ended  ," , T. M. Narasimhan(t.m.narasimhan@hotmail.com),Sumavanam Village School,Cheegalabailu,Andhra Pradesh  517 325 "," 9247411764, 9247174487  ","",ANDHRA PRADESH
193, completed - requirements ended  ," , Old BMC Office, 2nd Floor,Vako;a Market, Nehru Road, Santa Cruz(East),Mumbai,Maharashtra  400055 ", (91-22) 2665-2904  ,"",MAHARASHTRA
195, completed - sustainable  ," , 32, Gope Nivas,275, Sion East Road,,Maharashtra  400 022 ", 91-22-409 4778  ,"",MAHARASHTRA
197, completed - requirements ended  ," , ,,,Maharashtra   ",   ,"",MAHARASHTRA
198, completed - requirements ended  ," , Banashankari I Stage,,,Karnataka  560 050 ",   ,"",KARNATAKA
199, completed - requirements ended  ," , Address Vill. & P.O. Andharmanik,Via Baduria,,West Bengal  743401 ", +91-3217-44446  ,"",WEST BENGAL
200, completed - requirements ended  ," , Upkaar Circle, Picket,,,Andhra Pradesh  500003 ", 00-91-040-843338  ,"",ANDHRA PRADESH
201, completed - requirements ended  ," , Reddipalyam Village and Post, Athur via,,,Tamil Nadu  603 101 ", 04114-464203 (office)  ,"",TAMIL NADU
202, completed - requirements ended  ," , ,,Thoraiyur,Tamil Nadu   ",   ,"",TAMIL NADU
203, completed - requirements ended  ," , Thulir Arts and Science Research School,Latteri,,Tamil Nadu  0416 – 27539 ",   ,"",TAMIL NADU
204, current / ongoing  ," , Timbaktu Collective,CK Palli ,Chennakothapalli Village,Andhra Pradesh  515101 ", 918559240335  ,"",ANDHRA PRADESH
205, completed - requirements ended  ," , Balaji Sampath, C2 Ratna Apts.,AH 250, Shanti Colony, Annanagar,Chennai,Tamil Nadu  600040 ", (044) 6213638  ,"",TAMIL NADU
206, terminated  ," , Latheri Panchayet,K.V.Kuppam Block,,Tamil Nadu   ",   ,"",TAMIL NADU
207, completed - requirements ended  ," , 1/196, Veeras Garden, Lingam Nagar, Mudichur,,Tambaram,,Chennai,Tamil Nadu  6000048 ", 044-9840937779  ,"",TAMIL NADU
208, completed - things went wrong  ," , Mr. Johnson Kennedy,Director, UDAVI, No. 149, Brewery Rd, Shenoy Nagar,,Tamil Nadu  600030 ", (44) 26261675  ,"",TAMIL NADU
209, terminated  ," , 26/C Chandranath Chatterjee Street,Bhowanipore,,West Bengal  25 ",   ,"",WEST BENGAL
210, completed - sustainable  ," , Udavum Karangal, India,460, N.S.K. Nagar,,Tamil Nadu  600106 ", 621-6521/621-6321  ,"",TAMIL NADU
214, completed - requirements ended  ," , ,,,Uttar Pradesh   ",   ,"",UTTAR PRADESH
226, completed - requirements ended  ," , Sector-4, Adarsh Nagar,,P.B. No. 12,,Phalodi,Rajasthan  342301 ", (02925) 22272  ,"",RAJASTHAN
227, completed - requirements ended  ," , Valluvar Gurukulam,74, G.S.T Road, Tambaram (West),Chennai,Tamil Nadu  600045 ",   ,"",TAMIL NADU
229, Support ended.  ," , Vanavasi Ashram,P.O. Periyar,Kerala,Kerala  670 644 "," 91-4935-260422 (school), 91-98  ","",KERALA
230, terminated  ," , R.G.Tamhane,Suhiketan,Karve Road,Abhyudaya Colony,Vishnunagar, Dombivali West,Maharashtra  422005 ",   ,"",MAHARASHTRA
231, completed - things went wrong  ," , ,,,Telangana   ",   ,"",TELANGANA
232, rejected  ," , Vasundhara Rural Reconstruction and Education Project,,Nerurpar,Maharashtra  416525 ", 02362 - 22375  ,"",MAHARASHTRA
234, completed - requirements ended  ," , Biligiri Ranganabetta (BR) Hills,,Yelandur Taluk,Karnataka  571 441 ", (8226) 44025  ,"",KARNATAKA
235, completed - requirements ended  ," , ,,,Uttar Pradesh   ",   ,"",UTTAR PRADESH
236, completed - requirements ended  ," , 701/B, ""Kshitij"", Plot 87A-1-1,,Sahakar nagar No. 2,,Pune,Maharashtra  411009 "," (020)-422-2127, 421-5134  ","",MAHARASHTRA
237, completed - requirements ended  ," , ,,,Delhi   ",   ,"",DELHI
238, completed - requirements ended  ," , Vikas Adhyayan Kendra,62, Link Road,,Malad (West),Maharashtra  400 064 ", (91)-(22)-2882 2850  ,"",MAHARASHTRA
239, completed - requirements ended  ," , Serikkavachan Village,Endal,Vandavasi Taluk,Tamil Nadu  604502 ", 91-4183-48025  ,"",TAMIL NADU
240, completed - requirements ended  ," , ,,,Karnataka   ",   ,"",KARNATAKA
241, completed - requirements ended  ," , ,,Hosahalli,Karnataka   ",   ,"",KARNATAKA
242, completed - sustainable  ," , ,,,West Bengal   ", 91-33-2634-4821  ,"",WEST BENGAL
244, completed - requirements ended  ," , C-2, Triveni,Gilbert HIll, J.P. Road,Andheri,Maharashtra  400058 ", 91-22-2624-4304  ,"",MAHARASHTRA
245, completed - things went wrong  ," , c/o Voice Of People,Nutan Diyarah, P.O. Nayabad P.S.,Sonarpur,West Bengal  743 369 "," Tel- (9133) 462-0914, 462-0686  ","",WEST BENGAL
246, completed - requirements ended  ," , Headmaster, Bholanath M. E. School,P. O. : Jayapur, Via : Guamal,Itagari,Orissa   ",   ,"",ODISHA
247, completed - things went wrong  ," , Ishan,8/1 College Row,,West Bengal  9 ", 91 (33) 555-5018 or 241-2007  ,"",WEST BENGAL
248, completed - sustainable  ," , Postal Colony Road,,Chembur,Maharashtra  400071 ", 91-22-5220224 / 91-22-5220225  ,"",MAHARASHTRA
249, completed - requirements ended  ," , Officer,,Katihar,Bihar  854105 ", 91-6452-229529  ,"",BIHAR
250, completed - requirements ended  ," , Ururkuppam Middle School, Bajanai Koil street, Besant Nagar,,Chennai,Tamil Nadu  600090 ", 044-42112404  ,"",TAMIL NADU
252, completed - requirements ended  ," , 89/41, Swami Pillai Street,Choolai High Road,Choolai,Tamil Nadu  600 012 ", (011)-(91)-44-2-5383195  ,"",TAMIL NADU
253, current / ongoing  ," , L-40, VDA Colony, Chandmari,Lalpur II, Lamhi, Sarnath,Varanasi,Uttar Pradesh  221007 ", 011 91 05422290120  ,"",UTTAR PRADESH
255, completed - requirements ended  ," , 12/357, Indira Nagar,,Lucknow,Uttar Pradesh  226 016 "," +91-522-343257, 9839128868  ","",UTTAR PRADESH
257, completed - sustainable  ," , MHN 27/1, Behind Anthony Bar,,Baina Beach,Baina, Vasco Da Gama,Goa  403802 ", 91-832-519951  ,"",GOA
258, completed - requirements ended  ," , Sebama Foundation, Mercy Home,Sogathur Cross Road, Post Box 2,,Dharmapuri,Tamil Nadu  636703 ", 91-4342-281429  ,"",TAMIL NADU
259, terminated  ," , ,,,Delhi   ",   ,"",DELHI
260, completed - requirements ended  ," , 32, 11th Avenue, Ashok Nagar,,,Chennai,Tamil Nadu  600 083 ", 91-044-2489-0398  ,"",TAMIL NADU
261, completed - requirements ended  ," , Radhaballavpur;,P.O.-Bamongachi;,Langalberia,West Bengal  743353 ", 91-33-437-1129  ,"",WEST BENGAL
262, completed - requirements ended  ," , ,,,Delhi   ",   ,"",DELHI
263, current / ongoing  ," , 117 Suddananda Bharathi Streeet,East Thambaram,Chennai,Tamil Nadu  600059 ", 91-44-2378081  ,"",TAMIL NADU
264, completed - requirements ended  ," , Himalayan Institute, Hospital Trust,,Jolly Grant, Dehra Doon,Uttaranchal  248140 ", 91.135.412095  ,"",UTTARAKHAND
265, completed - requirements ended  ," , No.5 APCT Complex, Perianahalli, 635205,,Perianahalli,Tamil Nadu  635 205 ", (91) 04348- 47407  ,"",TAMIL NADU
266, completed - requirements ended  ," , State Bank Road,,,Dombivili-East,Maharashtra   ",   ,"",MAHARASHTRA
267, current / ongoing  ," , Muskaan, 14, Nadir Colony,Shamla Hills,Bhopal,Madhya Pradesh  462013 ", 011 91 9425600382  ,"",MADHYA PRADESH
268, current / ongoing  ," , Shantivan, Basistha,P.O. Basistha,Guwahati,Assam  781029 ", 0361- 2307138  ,"",ASSAM
270, completed - requirements ended  ," , Sonkibhat village,Dhaturi Tola,,Uttar Pradesh  277204 ", +91-(05496) 32067  ,"",UTTAR PRADESH
271, completed - requirements ended  ," , WARM, 14, Satta Naickan Street,,Thiruvannamalai,Tamil Nadu  606601 ", (4175) 25367  ,"",TAMIL NADU
272, completed - requirements ended  ," , ,,Mandhana,Uttar Pradesh   ", +91-512-598520  ,"",UTTAR PRADESH
273, completed - requirements ended  ," , Sector F/1,,Sarat Pally,West Bengal   721 101 ", (011)-(91)-03222-63866  ,"",WEST BENGAL
274, completed - requirements ended  ," , D.NO.31-32-48, DABA GARDENS,,VISAKHAPATNAM,Andhra Pradesh  530020 ", 08912559500  ,"",ANDHRA PRADESH
275, completed - things went wrong  ," , Bhai Aajgaonkar Road,,Aajgaon,Maharashtra  416538 ", (02366) 67240/67281  ,"",MAHARASHTRA
276, completed - things went wrong  ," , ,,,Uttar Pradesh   ",   ,"",UTTAR PRADESH
277, completed - requirements ended  ," , ,,,Kerala   ",   ,"",KERALA
278, current / ongoing  ," , Village PO - Baikunthapur via Raidighi,kultali block,kultali block,West Bengal  743383 ", 91-033-2427-7860  ,"",WEST BENGAL
279, completed - requirements ended  ," , Movement for Rural Emancipation (MORE),4-121,Shivanagar, Madkayyala Shiva Temple, Madanapalle,,Andhra Pradesh  517 325 "," 91-8571-225627,9440740895(c)  ","",ANDHRA PRADESH
280, completed - requirements ended  ," , ,,,Karnataka   ",   ,"",KARNATAKA
281, completed - requirements ended  ," , A.P.S.P. Camp,c/o Dr. S.Chandrasekhar,Kakinada,Andhra Pradesh  533 005 ", 91-884-2306 301 or 91-884-2306  ,"",ANDHRA PRADESH
282, completed - requirements ended  ," , 17A Cross, Indiranagar Stg 2,,Bangalore,,Karnataka  560 038 ", 91 - 080 - 5215191  ,"",KARNATAKA
283, completed - requirements ended  ," , Vikasana - Rural Centre for Education, Doddakallasandra P.O.,,Bangalore,Karnataka  560062 ",   ,"",KARNATAKA
